word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol
1	СМИ	5	NOUN	nsubj	сми	1	0
2	Германии:	1	PROPN	appos	германия	1	0
3	Путину	2	PROPN	name	путин	1	0
4	не	5	PART	neg	не	1	0
5	нужна	0	ADJ	ROOT	нужный	1	0
6	«Большая	7	ADJ	amod	больший	1	0
7	семерка»	5	NOUN	nmod	семерка	1	0
1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0
2	оригиналапрель	1	NOUN	nsubj	оригиналапрель	2	0
3	22-го,	4	NUM	nummod	22	2	0
4	2015	2	NUM	nummod	2015	2	0
1	В	2	ADP	case	в	3	0
2	комментариях	11	NOUN	nmod	комментарий	3	0
3	по	4	ADP	case	по	3	0
4	поводу	2	NOUN	nmod	повод	3	0
5	13-й	7	NUM	nummod	13	3	0
6	«Прямой	7	ADJ	amod	прямой	3	1
7	линии»	11	NOUN	iobj	линия	3	0
8	с	9	ADP	case	с	3	0
9	Владимиром	7	PROPN	nmod	владимир	3	0
10	Путиным	9	PROPN	name	путин	3	0
11	отмечался	0	VERB	ROOT	отмечаться	3	0
12	высокий	13	ADJ	amod	высокий	3	0
13	интерес	11	NOUN	nsubj	интерес	3	1
14	россиян	13	NOUN	nmod	россиянин	3	0
15	к	16	ADP	case	к	3	0
16	мероприятию.	13	NOUN	nmod	мероприятие	3	0
1	Многие	2	ADJ	amod	многие	4	0
2	комментаторы	3	NOUN	nsubj	комментатор	4	0
3	подчеркнули,	0	VERB	ROOT	подчеркивать	4	0
4	что	6	SCONJ	mark	что	4	0
5	Путин	6	PROPN	nsubj	путин	4	0
6	уклонялся	3	VERB	ccomp	уклоняться	4	0
7	от	8	ADP	case	от	4	0
8	ответов	6	NOUN	nmod	ответ	4	0
9	на	11	ADP	case	на	4	0
10	«неудобные»	11	ADJ	amod	неудобный	4	-1
11	вопросы,	6	NOUN	nmod	вопрос	4	0
12	например,	11	ADV	nmod	например	4	0
13	об	14	ADP	case	об	4	0
14	убийстве	11	NOUN	nmod	убийство	4	-1
15	Бориса	14	PROPN	nmod	борис	4	0
16	Немцова.	15	PROPN	name	немцов	4	0
1	В	3	ADP	case	в	5	0
2	этой	3	DET	det	этот	5	0
3	связи	0	NOUN	ROOT	связь	5	0
4	Der	3	PROPN	appos	Der	5	0
5	Tagesspiegel	4	PROPN	name	Tagesspiegel	5	0
6	(	3	PUNCT	punct	"(
"	5	0
1	17.04)	2	NUM	nsubj	17.04	6	0
2	обратила	0	VERB	ROOT	обращать	6	0
3	внимание	2	NOUN	dobj	внимание	6	1
4	на	5	ADP	case	на	6	0
5	фразу,	3	NOUN	nmod	фраза	6	0
6	к	7	ADP	case	к	6	0
7	которой	9	DET	nmod	который	6	0
8	часто	9	ADV	advmod	часто	6	0
9	прибегал	5	VERB	acl:relcl	прибегать	6	0
10	президент	9	NOUN	nsubj	президент	6	0
11	в	12	ADP	case	в	6	0
12	ходе	17	NOUN	nmod	ход	6	0
13	разговора:	12	NOUN	nmod	разговор	6	0
14	Возможно,	13	DET	nmod	возможно	6	0
15	мы	17	PRON	nsubj	мы	6	0
16	недостаточно	17	ADV	advmod	недостаточно	6	0
17	сделали,	9	VERB	parataxis	сделать	6	0
18	но	17	CONJ	cc	но	6	0
19	мы	20	PRON	nsubj	мы	6	0
20	находимся	17	VERB	conj	находиться	6	0
21	на	23	ADP	case	на	6	0
22	правильном	23	ADJ	amod	правильный	6	1
23	пути.	20	NOUN	nmod	путь	6	0
1	В	2	ADP	case	в	7	0
2	целом	4	NOUN	nmod	целое	7	0
3	медиа	4	NOUN	nsubj	медиа	7	0
4	отметили,	0	VERB	ROOT	отмечать	7	0
5	что	10	SCONJ	mark	что	7	0
6	в	8	ADP	case	в	7	0
7	этом	8	DET	det	это	7	0
8	году	10	NOUN	nmod	год	7	0
9	Путин	10	PROPN	nsubj	путин	7	0
10	вел	4	VERB	ccomp	вести	7	0
11	себя	10	PRON	dobj	себя	7	0
12	менее	13	ADV	advmod	менее	7	0
13	воинственно,	10	ADJ	nmod	воинственно	7	0
14	чем	19	ADP	case	что	7	0
15	раньше,	19	ADJ	amod	рано	7	0
16	и	15	CONJ	cc	и	7	0
17	избегал	15	VERB	conj	избегать	7	0
18	агрессивных	19	ADJ	amod	агрессивный	7	-1
19	высказываний	13	NOUN	nmod	высказывание	7	0
20	в	21	ADP	case	в	7	0
21	адрес	13	NOUN	nmod	адрес	7	0
22	США	21	PROPN	nmod	сша	7	0
23	и	22	CONJ	cc	и	7	0
24	ЕС.	22	PROPN	conj	ес	7	0
1	Как	2	SCONJ	mark	как	8	0
2	поясняет	0	VERB	ROOT	пояснять	8	0
3	Die	4	ADJ	amod	Die	8	0
4	Welt	5	PROPN	advmod	Welt	8	0
5	(17.04),	7	NUM	nummod	17.04	8	0
6	нынешняя	7	ADJ	amod	нынешний	8	0
7	передача	2	NOUN	nsubj	передача	8	0
8	—	7	PUNCT	nmod	"—
"	8	0
9	прежде	11	ADV	advmod	прежде	8	0
10	всего	9	DET	nmod	всего	8	0
11	шоу	8	NOUN	dobj	шоу	8	0
12	для	13	ADP	case	для	8	0
13	избирателей,	11	NOUN	nmod	избиратель	8	0
14	и	11	CONJ	cc	и	8	0
15	разговор	16	NOUN	nsubj	разговор	8	0
16	предстоял	11	VERB	conj	предстоять	8	0
17	не	19	PART	neg	не	8	0
18	о	19	ADP	case	о	8	0
19	геополитике,	16	NOUN	nmod	геополитика	8	0
20	а	19	CONJ	cc	а	8	0
21	проблемах	19	NOUN	conj	проблема	8	0
22	маленького	23	ADJ	amod	маленький	8	0
23	человека.	19	NOUN	nmod	человек	8	0
1	«Ведь	10	ADV	advmod	ведь	9	0
2	несмотря	4	ADP	case	несмотря	9	0
3	на	4	ADP	case	на	9	0
4	подъем	10	NOUN	nmod	подъем	9	1
5	настроения	4	NOUN	nmod	настроение	9	0
6	после	7	ADP	case	после	9	0
7	аннексии	5	NOUN	nmod	аннексия	9	0
8	Крыма,	7	PROPN	nmod	крым	9	0
9	россияне	10	NOUN	nsubj	россиянин	9	0
10	понимают,	0	VERB	ROOT	понимать	9	1
11	что	10	PUNCT	punct	что	9	0
12	экономическая	13	ADJ	amod	экономический	9	0
13	ситуация	11	NOUN	nsubj	ситуация	9	0
14	ухудшилась.	13	ADJ	amod	ухудшаться	9	-1
1	Это	2	DET	nsubj	это	10	0
2	может	0	VERB	ROOT	может	10	0
3	повлечь	2	VERB	xcomp	повлечь	10	0
4	негативные	3	ADJ	dobj	негативный	10	0
5	для	6	ADP	case	для	10	0
6	Путина	4	PROPN	nmod	путин	10	0
7	последствия».	2	SYM	punct	последствие	10	-1
1	Deutsche	5	DET	nsubj	Deutsche	11	0
2	Welle	3	ADV	advmod	Welle	11	0
3	(16.04)	1	NUM	nummod	16.04	11	0
4	так	5	ADV	advmod	так	11	0
5	описывает	0	VERB	ROOT	описывать	11	0
6	особенность	5	NOUN	dobj	особенность	11	1
7	«коммуникации	6	NOUN	nmod	коммуникация	11	0
8	по-российски»	9	ADJ	amod	по-российски	11	0
9	представителя	7	NOUN	nmod	представитель	11	0
10	власти	9	NOUN	nmod	власть	11	0
11	и	5	CONJ	cc	и	11	0
12	народа:	17	VERB	advmod	народ	11	0
13	это	16	DET	det	это	11	0
14	не	15	PART	neg	не	11	0
15	самоуверенный	16	ADJ	amod	самоуверенный	11	-1
16	избиратель	17	NOUN	nsubj	избиратель	11	0
17	требует	5	VERB	conj	требовать	11	0
18	ответа	17	NOUN	dobj	ответ	11	0
19	от	20	ADP	case	от	11	0
20	человека,	17	NOUN	nmod	человек	11	0
21	за	22	ADP	case	за	11	0
22	которого	17	DET	nmod	который	11	0
23	он	5	PRON	nsubj	он	11	0
24	голосовал.	23	ADJ	amod	голосовать	11	0
1	«Наоборот,	6	PRON	det	наоборот	12	0
2	российский	6	ADJ	amod	российский	12	0
3	подданный	6	VERB	mwe	подданный	12	0
4	как	6	ADP	case	как	12	0
5	смиренный	6	ADJ	amod	смиренный	12	1
6	проситель	7	NOUN	nsubj	проситель	12	0
7	пытается	0	VERB	ROOT	пытаться	12	0
8	получить	7	VERB	xcomp	получать	12	0
9	помощь	8	NOUN	dobj	помощь	12	1
10	от	12	ADP	case	от	12	0
11	заботливого	12	ADJ	amod	заботливый	12	1
12	царя,	9	NOUN	nmod	царь	12	0
13	а	8	CONJ	cc	а	12	0
14	Путин	15	PROPN	nsubj	путин	12	0
15	—	8	PUNCT	conj	"—
"	12	0
16	в	18	ADP	case	в	12	0
17	патерналистском	18	ADJ	amod	патерналистский	12	0
18	тоне	15	NOUN	nmod	тон	12	0
19	—	15	SYM	nmod	"—
"	12	0
20	обещает	7	VERB	punct	обещать	12	0
21	улучшение».	7	ADJ	punct	улучшение	12	1
1	СМИ	2	NOUN	nsubj	сми	13	0
2	проявили	0	VERB	ROOT	проявлять	13	0
3	интерес	2	NOUN	dobj	интерес	13	1
4	к	5	ADP	case	к	13	0
5	планам	3	NOUN	nmod	план	13	0
6	клуба	5	NOUN	nmod	клуб	13	0
7	«Ночные	8	ADJ	amod	ночной	13	0
8	волки»	6	NOUN	appos	волк	13	0
9	совершить	2	VERB	xcomp	совершать	13	0
10	мотопробег	9	NOUN	dobj	мотопробег	13	0
11	из	12	ADP	case	из	13	0
12	Москвы	10	PROPN	nmod	москва	13	0
13	в	14	ADP	case	в	13	0
14	Берлин.	9	PROPN	nmod	берлин	13	0
1	Может	0	VERB	ROOT	может	14	0
2	ли	1	PART	discourse	ли	14	0
3	националистический	5	ADJ	amod	националистический	14	-1
4	байкерский	5	ADJ	amod	байкерский	14	0
5	клуб	1	NOUN	dobj	клуб	14	0
6	проехать	1	VERB	xcomp	проехать	14	0
7	по	8	ADP	case	по	14	0
8	Берлину	6	PROPN	nmod	берлин	14	0
9	9	10	ADJ	amod	9	14	0
10	мая	8	PROPN	nmod	май	14	0
11	или	1	CONJ	cc	или	14	0
12	нет,	13	ADV	advmod	нет	14	0
13	задаются	1	VERB	conj	задаваться	14	0
14	вопросом	13	NOUN	advmod	вопрос	14	0
15	газеты.	14	SCONJ	nmod	газета	14	0
1	Особое	2	ADJ	amod	особый	15	1
2	внимание	3	NOUN	nsubj	внимание	15	1
3	уделяется	0	VERB	ROOT	уделяться	15	0
4	фигуре	10	NOUN	nsubj	фигура	15	0
5	лидера	4	NOUN	nmod	лидер	15	1
6	мотоклуба	5	NOUN	nmod	мотоклуб	15	0
7	Александра	5	PROPN	appos	александра	15	0
8	Залдостанова:	7	PROPN	name	залдостанова	15	0
9	медиа	7	NOUN	name	медиа	15	0
10	приводят	3	VERB	parataxis	приводить	15	0
11	подробности	10	NOUN	nsubj	подробность	15	1
12	его	13	PRON	det	он	15	0
13	биографии,	15	ADV	amod	биография	15	0
14	делая	15	ADJ	amod	делать	15	0
15	упор	11	NOUN	appos	упор	15	0
16	на	22	ADP	case	на	15	0
17	то,	22	DET	det	то	15	0
18	что	21	SCONJ	mark	что	15	0
19	тот	21	DET	nsubj	тот	15	0
20	является	21	VERB	cop	являться	15	0
21	«доверенным	22	ADJ	amod	доверенный	15	0
22	лицом»	15	NOUN	nmod	лицо	15	0
23	президента	22	NOUN	nmod	президент	15	0
24	Путина,	23	PROPN	appos	путин	15	0
25	организатором	23	NOUN	advmod	организатор	15	0
26	движения	25	NOUN	nmod	движение	15	0
